Execute Anonymous

================================

Map<String, Schema.SObjectType> objects = Schema.getGlobalDescribe();
Schema.DescribeSObjectResult objInfo = null;
for(Schema.SObjectType obj : objects.values()){
    objInfo = obj.getDescribe();
    System.debug(objInfo.getName()+' ['+ objInfo.getLabel()+' ]');

}

================================

28.0 APEX_CODE,DEBUG;APEX_PROFILING,DEBUG;CALLOUT,INFO;DB,INFO;VALIDATION,INFO;WORKFLOW,INFO
Execute Anonymous: Map<String, Schema.SObjectType> objects = Schema.getGlobalDescribe();
Execute Anonymous: Schema.DescribeSObjectResult objInfo = null;
Execute Anonymous: for(Schema.SObjectType obj : objects.values()){
Execute Anonymous:     objInfo = obj.getDescribe();
Execute Anonymous:     System.debug(objInfo.getName()+' ['+ objInfo.getLabel()+' ]');
Execute Anonymous: 
Execute Anonymous: }
14:45:10.082 (82868284)|EXECUTION_STARTED
14:45:10.082 (82878283)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
14:45:10.333 (333773774)|USER_DEBUG|[5]|DEBUG|tinderbox__TinderBox__c [TinderBox ]
14:45:10.333 (333957508)|USER_DEBUG|[5]|DEBUG|CaseTeamTemplateMember [Predefined Case Team Member ]
14:45:10.334 (334102250)|USER_DEBUG|[5]|DEBUG|OrgWideEmailAddress [Organization-wide From Email Address ]
14:45:10.334 (334274491)|USER_DEBUG|[5]|DEBUG|Job__c [Job ]
14:45:10.334 (334432270)|USER_DEBUG|[5]|DEBUG|Project_Module_Detail__c [Project Detail ]
14:45:10.334 (334581647)|USER_DEBUG|[5]|DEBUG|PartnerNetworkConnection [Connection ]
14:45:10.334 (334712699)|USER_DEBUG|[5]|DEBUG|DashboardFeed [Dashboard Feed ]
14:45:10.334 (334841161)|USER_DEBUG|[5]|DEBUG|ForecastShare [Forecast Share ]
14:45:10.337 (337666491)|USER_DEBUG|[5]|DEBUG|Event [Event ]
14:45:10.337 (337810760)|USER_DEBUG|[5]|DEBUG|Partner [Partner ]
14:45:10.337 (337941282)|USER_DEBUG|[5]|DEBUG|OpportunityFieldHistory [Opportunity Field History ]
14:45:10.338 (338082493)|USER_DEBUG|[5]|DEBUG|Pricebook2History [Price Book History ]
14:45:10.338 (338207715)|USER_DEBUG|[5]|DEBUG|OpportunityFeed [Opportunity Feed ]
14:45:10.340 (340506141)|USER_DEBUG|[5]|DEBUG|Asset [Asset ]
